,Map,Image No,Rpt No,Weekday,Date,Time,Veh Count,Involvement,Agency,Troop,County,City,Type,Severity,At Street,On Street,Light Cond,Injured,Killed,Injury
11,Mapped,'0100012315','201000023 ',Wed,1/6/10,12:37:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WORLEY ST,CST PROVIDENCE RD,Daylight,2,0,Evident Injury (Not Disabling)
12,Mapped,'0100012315','201000023 ',Wed,1/6/10,12:37:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WORLEY ST,CST PROVIDENCE RD,Daylight,2,0,Probably Injury (Not Apparent)
13,Not Mapped,'0100011388','201000027 ',Wed,1/6/10,14:48:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST ROLLING ROCK DR,CST ROCK QUARRY RD,Daylight,1,0,Evident Injury (Not Disabling)
14,Mapped,'0100011407','201000333800030',Wed,1/6/10,15:56:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63 S,RT WW,Daylight,4,0,Probably Injury (Not Apparent)
15,Mapped,'0100011407','201000333800030',Wed,1/6/10,15:56:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63 S,RT WW,Daylight,4,0,Probably Injury (Not Apparent)
16,Mapped,'0100011407','201000333800030',Wed,1/6/10,15:56:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63 S,RT WW,Daylight,4,0,Probably Injury (Not Apparent)
17,Mapped,'0100011407','201000333800030',Wed,1/6/10,15:56:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63 S,RT WW,Daylight,4,0,Probably Injury (Not Apparent)
18,Not Mapped,'0100012346','201000065 ',Wed,1/6/10,16:09:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST ROLLING ROCK RD,CST ROCK QUARRY RD,Daylight,1,0,Probably Injury (Not Apparent)
19,Mapped,'0100012320','201000034 ',Wed,1/6/10,18:51:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CRD BROWN SCHOOL RD,US 63,Dark-Unlighted,1,0,Disabling Injury
20,Mapped,'0100012334','201000040 ',Fri,1/8/10,11:23:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT B,US 63,Daylight,1,0,Probably Injury (Not Apparent)
21,Mapped,'0100011392','201000041 ',Sat,1/9/10,0:50:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,MO 740,US 63,Dark-Unlighted,2,0,Evident Injury (Not Disabling)
22,Mapped,'0100011392','201000041 ',Sat,1/9/10,0:50:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,MO 740,US 63,Dark-Unlighted,2,0,Evident Injury (Not Disabling)
23,Mapped,'0100012344','201000048 ',Sun,1/10/10,13:53:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST APPLE TREE LN,CST SOUTHAMPTON DR,Daylight,1,0,Probably Injury (Not Apparent)
24,Mapped,'0100012341','201000055 ',Tue,1/12/10,7:48:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CRD BROWN SCHOOL RD N,MO 763,Daylight,2,0,Evident Injury (Not Disabling)
25,Mapped,'0100012341','201000055 ',Tue,1/12/10,7:48:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CRD BROWN SCHOOL RD N,MO 763,Daylight,2,0,Probably Injury (Not Apparent)
26,Mapped,'0100017449','201000685800061',Tue,1/12/10,17:02:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Parked Motor Vehicle,Personl Injury,CST COLONIAL CT,CST WHITE GATE DR,Dark-Lighted,1,0,Disabling Injury
27,Mapped,'0100012318','201000073 ',Fri,1/15/10,17:01:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63,IS 70,Daylight,1,0,Probably Injury (Not Apparent)
28,Mapped,'0100012332','201000081 ',Sat,1/16/10,9:32:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63C,IS 70,Daylight,4,0,Probably Injury (Not Apparent)
29,Mapped,'0100012332','201000081 ',Sat,1/16/10,9:32:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63C,IS 70,Daylight,4,0,Probably Injury (Not Apparent)
30,Mapped,'0100012332','201000081 ',Sat,1/16/10,9:32:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63C,IS 70,Daylight,4,0,Probably Injury (Not Apparent)
31,Mapped,'0100012332','201000081 ',Sat,1/16/10,9:32:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,US 63C,IS 70,Daylight,4,0,Probably Injury (Not Apparent)
32,Mapped,'0100012314','201000076 ',Sat,1/16/10,12:00:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HATHMAN PL,LP 70,Daylight,1,0,Probably Injury (Not Apparent)
33,Mapped,'0100017440','201000987300082',Sat,1/16/10,12:02:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST ASH ST W,MO 740,Daylight,2,0,Disabling Injury
34,Mapped,'0100017440','201000987300082',Sat,1/16/10,12:02:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST ASH ST W,MO 740,Daylight,2,0,Evident Injury (Not Disabling)
35,Mapped,'0100012324','201000077 ',Sat,1/16/10,13:24:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT B,CST BROWN STATION,Daylight,1,0,Probably Injury (Not Apparent)
36,Mapped,'0100017448','201001062700089',Sun,1/17/10,14:55:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST WALNUT ST W,CST FIRST ST,Daylight,1,0,Probably Injury (Not Apparent)
37,Mapped,'0100012298','2010011223 ',Mon,1/18/10,15:59:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BROADWAY W,CST WEST BLVD,Daylight,2,0,Evident Injury (Not Disabling)
38,Mapped,'0100012298','2010011223 ',Mon,1/18/10,15:59:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BROADWAY W,CST WEST BLVD,Daylight,2,0,Evident Injury (Not Disabling)
39,Mapped,'0100012309','201000084 ',Mon,1/18/10,18:35:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MILE MARKER 1262,IS 70,Dark-Lighted,1,0,Probably Injury (Not Apparent)
40,Mapped,'0100012330','201000105 ',Tue,1/19/10,8:39:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BROADWAY,US 63,Unknown,2,0,Probably Injury (Not Apparent)
41,Mapped,'0100012330','201000105 ',Tue,1/19/10,8:39:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BROADWAY,US 63,Unknown,2,0,Probably Injury (Not Apparent)
42,Mapped,'0100012329','201000090 ',Tue,1/19/10,14:31:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST NINTH ST,CST LOCUST ST,Daylight,2,0,Evident Injury (Not Disabling)
43,Mapped,'0100012329','201000090 ',Tue,1/19/10,14:31:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST NINTH ST,CST LOCUST ST,Daylight,2,0,Probably Injury (Not Apparent)
44,Mapped,'0100012308','201000085 ',Wed,1/20/10,16:18:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HUNT AVE,SOR 70,Daylight,1,0,Probably Injury (Not Apparent)
45,Mapped,'0100017442','201001296800120',Wed,1/20/10,18:10:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CHAPEL HILL RD,CST SCOTT BLVD,Dark-Lighted,2,0,Probably Injury (Not Apparent)
46,Mapped,'0100017442','201001296800120',Wed,1/20/10,18:10:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CHAPEL HILL RD,CST SCOTT BLVD,Dark-Lighted,2,0,Probably Injury (Not Apparent)
47,Mapped,'0100017437','201001350500122',Thu,1/21/10,12:00:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PRIMROSE DR,MO 740,Daylight,1,0,Disabling Injury
48,Mapped,'0100017447','201001422200125',Thu,1/21/10,15:30:00,1,Pedestrian,Columbia PD,F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST WILKES BLVD,CST PROVIDENCE RD,Daylight,1,0,Probably Injury (Not Apparent)
49,Mapped,'0100013453','100350 ',Thu,1/21/10,21:10:00,2,Driver Present,Boone CO SD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST VAWTER SCHOOL RD W,CST SCOTT BLVD,Dark-Lighted,1,0,Probably Injury (Not Apparent)
50,Mapped,'0100012321','201000101 ',Sat,1/23/10,9:17:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST VANDIVER,RT B,Daylight,1,0,Probably Injury (Not Apparent)
51,Mapped,'0100022707','2010015716 ',Sun,1/24/10,3:10:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Parked Motor Vehicle,Personl Injury,CST GREEN MEADOWS,MO 163,Dark-Lighted,1,0,Evident Injury (Not Disabling)
52,Mapped,'0100017458','201001587800113',Sun,1/24/10,13:09:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST 7TH ST,LP 70,Daylight,1,0,Probably Injury (Not Apparent)
53,Mapped,'0100017471','201001622000138',Mon,1/25/10,6:12:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,US 63C,IS 70,Dark-Unlighted,1,0,Probably Injury (Not Apparent)
54,Mapped,'0100017563','20100003097 ',Mon,1/25/10,8:23:00,2,Passenger,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,PVT MONK DR,MO 740,Daylight,1,0,Evident Injury (Not Disabling)
55,Mapped,'0100017452','201001817900119',Wed,1/27/10,14:49:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HIGHLAND,RT TT,Daylight,1,0,Probably Injury (Not Apparent)
56,Mapped,'0100017457','201001820300139',Wed,1/27/10,15:28:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,IS 70 W,MO 763,Daylight,2,0,Disabling Injury
57,Mapped,'0100017457','201001820300139',Wed,1/27/10,15:28:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,IS 70 W,MO 763,Daylight,2,0,Disabling Injury
58,Mapped,'0100017467','201001833900149',Wed,1/27/10,18:55:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CRD GILLESPIE BRIDGE RD,CST SCOTT BLVD,Dark-Lighted,1,0,Evident Injury (Not Disabling)
59,Mapped,'0100017561','20100003642 ',Fri,1/29/10,9:35:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST UNIVERSITY AVE,MO 763,Daylight,1,0,Evident Injury (Not Disabling)
60,Mapped,'0100017464','201021332100165',Sun,1/31/10,13:41:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,MO 740,US 63,Daylight,1,0,Probably Injury (Not Apparent)
61,Mapped,'0100019338','201000142 ',Mon,2/1/10,6:46:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BROADWAY E,MO 763,Dark-Lighted,1,0,Probably Injury (Not Apparent)
62,Mapped,'0100019339','201000144 ',Mon,2/1/10,15:40:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HANOVER BLVD,CST CLARK LN,Daylight,1,0,Probably Injury (Not Apparent)
63,Mapped,'0100019348','201000159 ',Mon,2/1/10,23:45:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST KEENE,RT WW,Dark-Lighted,2,0,Disabling Injury
64,Mapped,'0100019348','201000159 ',Mon,2/1/10,23:45:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST KEENE,RT WW,Dark-Lighted,2,0,Disabling Injury
65,Not Mapped,'0100019371','201000161 ',Wed,2/3/10,6:10:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST RICHLAND,CST ST CHARLES RD,Dark-Unlighted,1,0,Evident Injury (Not Disabling)
66,Mapped,'0100023728','201002445200169',Thu,2/4/10,17:18:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SMILEY LN,MO 763,Dark-Unlighted,4,0,Evident Injury (Not Disabling)
67,Mapped,'0100023728','201002445200169',Thu,2/4/10,17:18:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SMILEY LN,MO 763,Dark-Unlighted,4,0,Probably Injury (Not Apparent)
68,Mapped,'0100023728','201002445200169',Thu,2/4/10,17:18:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SMILEY LN,MO 763,Dark-Unlighted,4,0,Probably Injury (Not Apparent)
69,Mapped,'0100023728','201002445200169',Thu,2/4/10,17:18:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SMILEY LN,MO 763,Dark-Unlighted,4,0,Probably Injury (Not Apparent)
70,Mapped,'0100019353','201000182 ',Fri,2/5/10,2:17:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST THISTLEDOWN DR,CST BROADWAY,Dark-Lighted,2,0,Probably Injury (Not Apparent)
71,Mapped,'0100019353','201000182 ',Fri,2/5/10,2:17:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST THISTLEDOWN DR,CST BROADWAY,Dark-Lighted,2,0,Probably Injury (Not Apparent)
72,Mapped,'0100019377','201000172 ',Fri,2/5/10,8:27:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Overturn,Personl Injury,CST HUTCHENS,CST I - 70 DR,Daylight,3,0,Disabling Injury
73,Mapped,'0100019377','201000172 ',Fri,2/5/10,8:27:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Overturn,Personl Injury,CST HUTCHENS,CST I - 70 DR,Daylight,3,0,Evident Injury (Not Disabling)
74,Mapped,'0100019377','201000172 ',Fri,2/5/10,8:27:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Overturn,Personl Injury,CST HUTCHENS,CST I - 70 DR,Daylight,3,0,Evident Injury (Not Disabling)
75,Mapped,'0100017861','20100004623 ',Fri,2/5/10,21:10:00,1,Pedestrian,University of MO (columbia),F,BOONE,COLUMBIA,Pedestrian,Personl Injury,CST 9TH ST,CST UNIVERSITY AVE,Dark-Lighted,1,0,Evident Injury (Not Disabling)
76,Mapped,'0100019360','201000184 ',Fri,2/5/10,22:10:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST ASH ST W,MO 740,Dark-Lighted,1,0,Probably Injury (Not Apparent)
77,Mapped,'0100019379','201000192 ',Sat,2/6/10,18:13:00,4,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,SOR 70 E,US 63C,Dark-Lighted,1,0,Evident Injury (Not Disabling)
78,Not Mapped,'0100023696','2010026637 ',Sun,2/7/10,16:59:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST FAIRVIEW,CST WORLEY ST,Daylight,2,0,Probably Injury (Not Apparent)
79,Not Mapped,'0100023696','2010026637 ',Sun,2/7/10,16:59:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST FAIRVIEW,CST WORLEY ST,Daylight,2,0,Probably Injury (Not Apparent)
80,Mapped,'0100023664','201000246 ',Mon,2/8/10,0:33:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST MICK DEAVER DR,MO 163,Dark-Lighted,2,0,Probably Injury (Not Apparent)
81,Mapped,'0100023664','201000246 ',Mon,2/8/10,0:33:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST MICK DEAVER DR,MO 163,Dark-Lighted,2,0,Evident Injury (Not Disabling)
82,Mapped,'0100019349','201000176 ',Tue,2/9/10,15:18:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST CONLEY RD,US 63C,Daylight,1,0,Probably Injury (Not Apparent)
83,Mapped,'0100019355','201000201 ',Thu,2/11/10,13:02:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST SEVENTH ST,CST BROADWAY,Daylight,1,0,Probably Injury (Not Apparent)
84,Mapped,'0100019383','201000210 ',Thu,2/11/10,13:58:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST ASPEN,CST I - 70 DR,Daylight,1,0,Probably Injury (Not Apparent)
85,Mapped,'0100023706','2010030222 ',Fri,2/12/10,12:11:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Parked Motor Vehicle,Personl Injury,CST FIRST ST,CST ASH ST,Daylight,1,0,Probably Injury (Not Apparent)
86,Mapped,'0100023693','2010030311 ',Fri,2/12/10,14:48:00,3,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,RT AC,MO 163,Daylight,1,0,Probably Injury (Not Apparent)
87,Mapped,'0100023723','2010030552 ',Fri,2/12/10,20:29:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST NIFONG,MO 163,Dark-Lighted,1,0,Probably Injury (Not Apparent)
88,Mapped,'0100023724','201003083900222',Sat,2/13/10,3:55:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST STRAWN RD,CST WORLEY ST,Dark-Lighted,2,0,Disabling Injury
89,Mapped,'0100023724','201003083900222',Sat,2/13/10,3:55:00,1,Passenger,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST STRAWN RD,CST WORLEY ST,Dark-Lighted,2,0,Evident Injury (Not Disabling)
90,Not Mapped,'0100019375','201000226 ',Sat,2/13/10,19:45:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Parked Motor Vehicle,Personl Injury,CST JACKSON ST,CST CREASY SPRINGS RD,Dark-Lighted,1,0,Evident Injury (Not Disabling)
91,Mapped,'0100023721','2010031276 ',Sat,2/13/10,20:36:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BERNADETTE,MO 740,Dark-Lighted,1,0,Evident Injury (Not Disabling)
92,Not Mapped,'0100023720','2010031479 ',Sun,2/14/10,3:48:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST STAGS WAY,CST ROCK QUARRY RD,Dark-Unlighted,1,0,Probably Injury (Not Apparent)
93,Mapped,'0100023691','2010031768 ',Sun,2/14/10,18:46:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BRICKTON,CST BROADWAY,Dark-Lighted,1,0,Probably Injury (Not Apparent)
94,Mapped,'0100023731','201003224900228',Mon,2/15/10,17:43:00,1,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Fixed Object,Personl Injury,CST RESEARCH PARK DR,MO 163,Dark-Unlighted,1,0,Probably Injury (Not Apparent)
95,Mapped,'0100032027','2010005940 ',Tue,2/16/10,8:39:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST MARYLAND AVE,MO 740,Daylight,1,0,Probably Injury (Not Apparent)
96,Mapped,'0100023730','201003294900225',Tue,2/16/10,17:09:00,4,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MO 163,LP 70,Daylight,2,0,Probably Injury (Not Apparent)
97,Mapped,'0100023730','201003294900225',Tue,2/16/10,17:09:00,4,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,MO 163,LP 70,Daylight,2,0,Probably Injury (Not Apparent)
98,Mapped,'0100023713','2010032972 ',Tue,2/16/10,17:38:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WEST BLVD,MO 740,Daylight,1,0,Probably Injury (Not Apparent)
99,Mapped,'0100032028','20100006113 ',Wed,2/17/10,13:22:00,2,Driver Present,University of MO (columbia),F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST MARYLAND AVE,MO 740,Daylight,1,0,Probably Injury (Not Apparent)
100,Mapped,'0100023700','2010035135 ',Fri,2/19/10,14:24:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST LAWNRIDGE CT,CST BROWN STATION,Daylight,3,0,Probably Injury (Not Apparent)
101,Mapped,'0100023700','2010035135 ',Fri,2/19/10,14:24:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST LAWNRIDGE CT,CST BROWN STATION,Daylight,3,0,Probably Injury (Not Apparent)
102,Mapped,'0100023700','2010035135 ',Fri,2/19/10,14:24:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST LAWNRIDGE CT,CST BROWN STATION,Daylight,3,0,Probably Injury (Not Apparent)
103,Mapped,'0100023689','2010037302 ',Mon,2/22/10,16:23:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST PARIS RD,MO 763,Unknown,1,0,Probably Injury (Not Apparent)
104,Mapped,'0100023680','201000264 ',Mon,2/22/10,16:33:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HATHMAN,LP 70,Daylight,2,0,Evident Injury (Not Disabling)
105,Mapped,'0100023680','201000264 ',Mon,2/22/10,16:33:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HATHMAN,LP 70,Daylight,2,0,Evident Injury (Not Disabling)
106,Not Mapped,'0100023717','2010037561 ',Mon,2/22/10,23:00:00,2,Driver Present,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST EAST POINTE,CST STADIUM,Dark-Lighted,1,0,Probably Injury (Not Apparent)
107,Mapped,'0100023718','2010037930 ',Tue,2/23/10,10:39:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST BROADWAY E,MO 763,Daylight,1,0,Probably Injury (Not Apparent)
108,Not Mapped,'0100023688','2010038173 ',Tue,2/23/10,16:11:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST WESTWOOD AVE,CST BROADWAY ST,Daylight,1,0,Probably Injury (Not Apparent)
109,Mapped,'0100023683','2010038273 ',Tue,2/23/10,18:21:00,2,Passenger,Columbia PD,F,BOONE,COLUMBIA,Motor Vehicle in Transport,Personl Injury,CST HIGHLAND,CST BROADWAY,Daylight,2,0,Probably Injury (Not Apparent)
