"Crash_ID","At_Intersection_Flag","Crash_Date","Crash_Death_Count","Crash_Non.Suspected_Serious_Injury_Count","Crash_Not_Injured_Count","Crash_Possible_Injury_Count","Crash_Severity","Crash_Suspected_Serious_Injury_Count","Crash_Total_Injury_Count","Crash_Unknown_Injury_Count","Latitude","Longitude","Street_Name","Street_Number","Driver_Alcohol_Result","Driver_Blood_Alcohol_Content_Test_Result","Driver_Drug_Test_Result","Unit_Death_Count","Unit_Description","Unit_Non.Suspected_Serious_Injury_Count","Unit_Not_Injured_Count","Unit_Possible_Injury_Count","Unit_Suspected_Serious_Injury_Count","Unit_Total_Injury_Count","Unit_Unknown_Injury_Count","Vehicle_Body_Style","Vehicle_Make","Vehicle_Model_Name","Person_Age","Person_Death_Count","Person_Ethnicity","Person_Gender","Person_Injury_Severity","Person_Not_Injured_Count","Person_Possible_Injury_Count","Person_Suspected_Serious_Injury_Count","Person_Total_Injury_Count","Person_Type","Crash_Month","Crash_Year"
13113369,FALSE,2013-02-03,0,0,2,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.36415419,-98.59055059,"FM2536",4814,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","39",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013
13108723,FALSE,2013-02-04,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.46408496,-98.52323231,"W ROSEWOOD AVE",1600,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","51",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13112903,FALSE,2013-02-04,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.47138337,-98.57460102,"SS0421",1841,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","49",0,"B - BLACK","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013
13114103,TRUE,2013-02-04,0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.44064497,-98.49417231,"W CYPRESS ST",100,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013
13112879,FALSE,2013-02-05,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.42967497,-98.48604231,"4TH ST",300,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13175424,TRUE,2013-02-06,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.49601018,-98.70958624,"FM0471",11001,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","59",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","February",2013
13115174,FALSE,2013-02-07,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.4297085,-98.68934715,"FILLMORE DR",934,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","12",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013
13116828,FALSE,2013-02-08,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.39811531,-98.51376437,"SL0353",1600,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","73",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13117212,TRUE,2013-02-08,0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.42650497,-98.48866231,"E HOUSTON ST",398,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","69",0,"W - WHITE","2 - FEMALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","February",2013
13117212,TRUE,2013-02-08,0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.42650497,-98.48866231,"E HOUSTON ST",398,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","1",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013
13117344,FALSE,2013-02-08,0,0,3,1,"C - POSSIBLE INJURY",0,1,0,29.50845496,-98.5259423,"WEST AVE",4700,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","50",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13197780,TRUE,2013-02-11,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.42454497,-98.49145231,"N ST MARYS ST",100,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","29",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013
13126309,FALSE,2013-02-13,0,0,0,1,"C - POSSIBLE INJURY",0,1,1,29.55066644,-98.40757839,"THOUSAND OAKS DR",4376,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","22",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13127917,TRUE,2013-02-14,0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.45009497,-98.49396231,"N MAIN AVE",2198,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","62",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","February",2013
13127310,FALSE,2013-02-15,0,0,3,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.51728324,-98.4885922,"E RECTOR DR",464,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","22",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013
13128282,TRUE,2013-02-16,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.49327365,-98.43467239,"SL0368",1462,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","51",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","February",2013
13131222,FALSE,2013-02-19,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.42734567,-98.49132231,"N ST MARYS ST",379,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","25",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13131212,FALSE,2013-02-20,0,0,0,1,"C - POSSIBLE INJURY",0,1,1,29.53987031,-98.4454204,"WETMORE RD",10884,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","21",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13193626,FALSE,2013-02-21,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.5523077,-98.51126727,"SIR WINSTON ST",11311,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","26",0,"B - BLACK","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013
13175427,TRUE,2013-02-25,0,0,2,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.42275497,-98.49501231,"S FLORES ST",198,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","31",0,"W - WHITE","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013
13172992,FALSE,2013-03-08,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.43029096,-98.50685416,"W MARTIN ST",1360,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","53",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","March",2013
13180038,TRUE,2013-03-10,1,1,4,0,"K - FATAL INJURY",0,1,0,29.427609,-98.49132231,"N ST MARYS ST",494,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","36",1,"H - HISPANIC","2 - FEMALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","March",2013
13180038,TRUE,2013-03-10,1,1,4,0,"K - FATAL INJURY",0,1,0,29.427609,-98.49132231,"N ST MARYS ST",494,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","36",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013
13173711,TRUE,2013-03-16,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.42643497,-98.49450231,"W HOUSTON ST",108,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","48",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13174081,FALSE,2013-03-17,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.36804949,-98.55635549,"CRITTENDON ST",592,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","48",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013
13175513,FALSE,2013-03-17,0,0,2,1,"C - POSSIBLE INJURY",0,1,0,29.42061714,-98.49092231,"S ST MARYS ST",510,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","23",0,"B - BLACK","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","March",2013
13176061,TRUE,2013-03-18,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.59265494,-98.45146232,"HENDERSON PASS",16600,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,0,1,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"3 - PEDALCYCLIST","March",2013
13178393,TRUE,2013-03-18,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.45437496,-98.47147232,"E MULBERRY AVE",1001,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,0,1,1,0,"No Data","No Data","No Data","42",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"3 - PEDALCYCLIST","March",2013
13178397,TRUE,2013-03-18,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.42289497,-98.48734232,"E MARKET ST",101,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","45",0,"W - WHITE","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","March",2013
13183821,TRUE,2013-03-18,1,0,0,0,"K - FATAL INJURY",0,0,1,29.34896,-98.50388231,"PLEASANTON RD",3016,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","63",1,"H - HISPANIC","1 - MALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","March",2013
13178790,FALSE,2013-03-19,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.50004401,-98.53491482,"SAVANNAH DR",294,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","7",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13184005,FALSE,2013-03-20,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.41783581,-98.66406637,"MARBACH RD",9086,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","51",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013
13184136,FALSE,2013-03-20,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.40954087,-98.63937852,"HACKAMORE LN",2215,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","10",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13183737,FALSE,2013-03-22,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.49659495,-98.41999729,"EISENHAUER RD",3900,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","36",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","March",2013
13183984,FALSE,2013-03-22,0,0,2,0,"N - NOT INJURED",0,0,0,29.44912497,-98.49181083,"E ASHBY PL",301,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","60",0,"H - HISPANIC","1 - MALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","March",2013
13184284,FALSE,2013-03-23,0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,29.37935947,-98.49616948,"MORRILL AVE",276,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","15",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013
13184284,FALSE,2013-03-23,0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,29.37935947,-98.49616948,"MORRILL AVE",276,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","4",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013
13184446,FALSE,2013-03-23,0,0,2,0,"N - NOT INJURED",0,0,0,29.4733753,-98.53492264,"FREDERICKSBURG RD",3333,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,1,0,0,0,0,"No Data","No Data","No Data","18",0,"B - BLACK","1 - MALE","N - NOT INJURED",1,0,0,0,"3 - PEDALCYCLIST","March",2013
13186356,FALSE,2013-03-25,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.48862489,-98.42808632,"CORINNE DR",403,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","56",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13196149,TRUE,2013-03-25,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.40260498,-98.53025231,"S ZARZAMORA ST",2100,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","52",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","March",2013
13191053,TRUE,2013-03-26,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.40088498,-98.49603231,"HELENA ST",499,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","21",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13191281,TRUE,2013-03-26,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.39653498,-98.44664233,"E HIGHLAND BLVD",1800,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","12",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","March",2013
13195010,FALSE,2013-03-28,0,0,1,1,"C - POSSIBLE INJURY",0,1,0,29.41515775,-98.63765591,"WHITE MAGNOLIA",1803,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","2",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13195129,TRUE,2013-03-28,0,0,6,2,"C - POSSIBLE INJURY",0,2,0,29.54256752,-98.58097649,"SL0345",10698,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","37",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013
13195973,FALSE,2013-03-30,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.42374701,-98.48776746,"E COMMERCE ST",497,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","17",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013
13249276,TRUE,2013-04-06,0,0,2,0,"N - NOT INJURED",0,0,0,29.37536498,-98.45670232,"E SOUTHCROSS BLVD",2399,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","13",0,"H - HISPANIC","2 - FEMALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","April",2013
13239537,TRUE,2013-04-26,0,0,2,0,"N - NOT INJURED",0,0,0,29.50719495,-98.45902232,"N NEW BRAUNFELS AVE",8100,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,1,0,0,0,0,"No Data","No Data","No Data","48",0,"W - WHITE","1 - MALE","N - NOT INJURED",1,0,0,0,"3 - PEDALCYCLIST","April",2013
13239777,TRUE,2013-04-26,0,0,3,1,"A - SUSPECTED SERIOUS INJURY",1,2,0,29.41994497,-98.5394523,"CASTROVILLE RD",166,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,0,1,1,0,"No Data","No Data","No Data","21",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"3 - PEDALCYCLIST","April",2013
13239777,TRUE,2013-04-26,0,0,3,1,"A - SUSPECTED SERIOUS INJURY",1,2,0,29.41994497,-98.5394523,"CASTROVILLE RD",166,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","50",0,"H - HISPANIC","1 - MALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","April",2013
13239777,TRUE,2013-04-26,0,0,3,1,"A - SUSPECTED SERIOUS INJURY",1,2,0,29.41994497,-98.5394523,"CASTROVILLE RD",166,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,1,0,0,0,0,"No Data","No Data","No Data","20",0,"H - HISPANIC","2 - FEMALE","N - NOT INJURED",1,0,0,0,"3 - PEDALCYCLIST","April",2013
13240048,TRUE,2013-04-26,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",2,2,0,29.50433496,-98.50682231,"BLANCO RD",5524,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","60",0,"W - WHITE","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","April",2013
13240048,TRUE,2013-04-26,0,0,1,0,"A - SUSPECTED SERIOUS INJURY",2,2,0,29.50433496,-98.50682231,"BLANCO RD",5524,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","53",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","April",2013
13240157,TRUE,2013-04-26,0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,1,29.45018497,-98.57799229,"CULEBRA RD",3808,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","61",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","April",2013
13241620,FALSE,2013-04-27,0,0,2,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,29.42269498,-98.47998232,"CHESTNUT ST",200,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","44",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","April",2013
13242080,TRUE,2013-04-27,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.44063497,-98.49898231,"SAN PEDRO AVE",800,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","24",0,"B - BLACK","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","April",2013
13242280,TRUE,2013-04-27,0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,29.57354494,-98.46989231,"HEIMER RD",700,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","31",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","April",2013
13242391,FALSE,2013-04-27,0,0,3,1,"C - POSSIBLE INJURY",0,1,0,29.42367542,-98.50167865,"W NUEVA",490,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","60",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","April",2013
