"","Crash_ID","At_Intersection_Flag","Crash_Date","Crash_Death_Count","Crash_Non.Suspected_Serious_Injury_Count","Crash_Not_Injured_Count","Crash_Possible_Injury_Count","Crash_Severity","Crash_Suspected_Serious_Injury_Count","Crash_Total_Injury_Count","Crash_Unknown_Injury_Count","Street_Name","Street_Number","Driver_Alcohol_Result","Driver_Blood_Alcohol_Content_Test_Result","Driver_Drug_Test_Result","Unit_Death_Count","Unit_Description","Unit_Non.Suspected_Serious_Injury_Count","Unit_Not_Injured_Count","Unit_Possible_Injury_Count","Unit_Suspected_Serious_Injury_Count","Unit_Total_Injury_Count","Unit_Unknown_Injury_Count","Vehicle_Body_Style","Vehicle_Make","Vehicle_Model_Name","Person_Age","Person_Death_Count","Person_Ethnicity","Person_Gender","Person_Injury_Severity","Person_Not_Injured_Count","Person_Possible_Injury_Count","Person_Suspected_Serious_Injury_Count","Person_Total_Injury_Count","Person_Type","Crash_Month","Crash_Year","OBJECTID","District","SHAPE_Leng","SHAPE_Area","ColorFactor","color","geometry"
"15",13112879,FALSE,"2/5/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"4TH ST",300,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.48604231, 29.42967497)
"16",13175424,TRUE,"2/6/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"FM0471",11001,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","59",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","February",2013,6,"6",166331.497379634,195538833.203622,"6","#E31A1C",c(-98.70958624, 29.49601018)
"17",13115174,FALSE,"2/7/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"FILLMORE DR",934,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","12",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.68934715, 29.4297085)
"18",13116828,FALSE,"2/8/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"SL0353",1600,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","73",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.51376437, 29.39811531)
"19",13117212,TRUE,"2/8/13",0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,"E HOUSTON ST",398,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","69",0,"W - WHITE","2 - FEMALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.48866231, 29.42650497)
"20",13117212,TRUE,"2/8/13",0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,"E HOUSTON ST",398,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","1",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.48866231, 29.42650497)
"21",13117344,FALSE,"2/8/13",0,0,3,1,"C - POSSIBLE INJURY",0,1,0,"WEST AVE",4700,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","50",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.5259423, 29.50845496)
"22",13197780,TRUE,"2/11/13",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"N ST MARYS ST",100,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","29",0,"H - HISPANIC","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49145231, 29.42454497)
"23",13126309,FALSE,"2/13/13",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"THOUSAND OAKS DR",4376,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","22",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.40757839, 29.55066644)
"24",13127917,TRUE,"2/14/13",0,1,2,0,"B - SUSPECTED MINOR INJURY",0,1,0,"N MAIN AVE",2198,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","62",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49396231, 29.45009497)
"25",13127310,FALSE,"2/15/13",0,0,3,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"E RECTOR DR",464,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","22",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.4885922, 29.51728324)
"26",13128282,TRUE,"2/16/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"SL0368",1462,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","51",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","February",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.43467239, 29.49327365)
"27",13131222,FALSE,"2/19/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"N ST MARYS ST",379,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","25",0,"W - WHITE","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49132231, 29.42734567)
"28",13131212,FALSE,"2/20/13",0,0,0,1,"C - POSSIBLE INJURY",0,1,1,"WETMORE RD",10884,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","21",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.4454204, 29.53987031)
"29",13193626,FALSE,"2/21/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"SIR WINSTON ST",11311,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","26",0,"B - BLACK","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","February",2013,9,"9",129650.987030356,170733801.46627,"9","#CAB2D6",c(-98.51126727, 29.5523077)
"30",13175427,TRUE,"2/25/13",0,0,2,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"S FLORES ST",198,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","31",0,"W - WHITE","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","February",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49501231, 29.42275497)
"31",13172992,FALSE,"3/8/13",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"W MARTIN ST",1360,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","53",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","March",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.50685416, 29.43029096)
"32",13180038,TRUE,"3/10/13",1,1,4,0,"K - FATAL INJURY",0,1,0,"N ST MARYS ST",494,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","36",1,"H - HISPANIC","2 - FEMALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49132231, 29.427609)
"33",13180038,TRUE,"3/10/13",1,1,4,0,"K - FATAL INJURY",0,1,0,"N ST MARYS ST",494,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","36",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49132231, 29.427609)
"34",13173711,TRUE,"3/16/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"W HOUSTON ST",108,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","48",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49450231, 29.42643497)
"35",13174081,FALSE,"3/17/13",0,1,0,0,"B - SUSPECTED MINOR INJURY",0,1,0,"CRITTENDON ST",592,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","48",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.55635549, 29.36804949)
"36",13175513,FALSE,"3/17/13",0,0,2,1,"C - POSSIBLE INJURY",0,1,0,"S ST MARYS ST",510,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","23",0,"B - BLACK","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49092231, 29.42061714)
"37",13176061,TRUE,"3/18/13",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"HENDERSON PASS",16600,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,0,1,1,0,"No Data","No Data","No Data","54",0,"W - WHITE","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"3 - PEDALCYCLIST","March",2013,10,"10",116850.777152178,173241729.798576,"10","#6A3D9A",c(-98.45146232, 29.59265494)
"38",13178393,TRUE,"3/18/13",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"E MULBERRY AVE",1001,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,0,1,1,0,"No Data","No Data","No Data","42",0,"H - HISPANIC","1 - MALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"3 - PEDALCYCLIST","March",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.47147232, 29.45437496)
"39",13178397,TRUE,"3/18/13",0,0,1,0,"A - SUSPECTED SERIOUS INJURY",1,1,0,"E MARKET ST",101,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,0,1,1,0,"No Data","No Data","No Data","45",0,"W - WHITE","2 - FEMALE","A - SUSPECTED SERIOUS INJURY",0,0,1,1,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.48734232, 29.42289497)
"40",13183821,TRUE,"3/18/13",1,0,0,0,"K - FATAL INJURY",0,0,1,"PLEASANTON RD",3016,"No Data","No Data","No Data",1,"4 - PEDESTRIAN",0,0,0,0,0,0,"No Data","No Data","No Data","63",1,"H - HISPANIC","1 - MALE","K - FATAL INJURY",0,0,0,0,"4 - PEDESTRIAN","March",2013,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.50388231, 29.34896)
"41",13178790,FALSE,"3/19/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"SAVANNAH DR",294,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","7",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.53491482, 29.50004401)
"42",13184005,FALSE,"3/20/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"MARBACH RD",9086,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","51",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.66406637, 29.41783581)
"43",13184136,FALSE,"3/20/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"HACKAMORE LN",2215,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","10",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.63937852, 29.40954087)
"44",13183737,FALSE,"3/22/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"EISENHAUER RD",3900,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,0,1,0,1,0,"No Data","No Data","No Data","36",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"3 - PEDALCYCLIST","March",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.41999729, 29.49659495)
"45",13183984,FALSE,"3/22/13",0,0,2,0,"N - NOT INJURED",0,0,0,"E ASHBY PL",301,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","60",0,"H - HISPANIC","1 - MALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.49181083, 29.44912497)
"46",13184284,FALSE,"3/23/13",0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,"MORRILL AVE",276,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","15",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.49616948, 29.37935947)
"47",13184284,FALSE,"3/23/13",0,2,1,0,"B - SUSPECTED MINOR INJURY",0,2,0,"MORRILL AVE",276,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","4",0,"H - HISPANIC","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.49616948, 29.37935947)
"48",13184446,FALSE,"3/23/13",0,0,2,0,"N - NOT INJURED",0,0,0,"FREDERICKSBURG RD",3333,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",0,1,0,0,0,0,"No Data","No Data","No Data","18",0,"B - BLACK","1 - MALE","N - NOT INJURED",1,0,0,0,"3 - PEDALCYCLIST","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.53492264, 29.4733753)
"49",13186356,FALSE,"3/25/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"CORINNE DR",403,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","56",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,2,"2",200377.04154192,205775141.994205,"2","#1F78B4",c(-98.42808632, 29.48862489)
"50",13196149,TRUE,"3/25/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"S ZARZAMORA ST",2100,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","52",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","March",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.53025231, 29.40260498)
"51",13191053,TRUE,"3/26/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"HELENA ST",499,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","21",0,"H - HISPANIC","2 - FEMALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,5,"5",62461.8052920409,84929269.0806112,"5","#FB9A99",c(-98.49603231, 29.40088498)
"52",13191281,TRUE,"3/26/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"E HIGHLAND BLVD",1800,"No Data","No Data","No Data",0,"3 - PEDALCYCLIST",1,0,0,0,1,0,"No Data","No Data","No Data","12",0,"W - WHITE","2 - FEMALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"3 - PEDALCYCLIST","March",2013,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.44664233, 29.39653498)
"53",13195010,FALSE,"3/28/13",0,0,1,1,"C - POSSIBLE INJURY",0,1,0,"WHITE MAGNOLIA",1803,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","2",0,"H - HISPANIC","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,4,"4",240102.385084416,221593816.379782,"4","#33A02C",c(-98.63765591, 29.41515775)
"54",13195129,TRUE,"3/28/13",0,0,6,2,"C - POSSIBLE INJURY",0,2,0,"SL0345",10698,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,0,1,0,1,0,"No Data","No Data","No Data","37",0,"W - WHITE","1 - MALE","C - POSSIBLE INJURY",0,1,0,1,"4 - PEDESTRIAN","March",2013,8,"8",139193.677037404,181162836.259435,"8","#FF7F00",c(-98.58097649, 29.54256752)
"55",13195973,FALSE,"3/30/13",0,1,1,0,"B - SUSPECTED MINOR INJURY",0,1,0,"E COMMERCE ST",497,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",1,0,0,0,1,0,"No Data","No Data","No Data","17",0,"H - HISPANIC","1 - MALE","B - SUSPECTED MINOR INJURY",0,0,0,1,"4 - PEDESTRIAN","March",2013,1,"1",85108.0984010411,100561052.89761,"1","#A6CEE3",c(-98.48776746, 29.42374701)
"56",13249276,TRUE,"4/6/13",0,0,2,0,"N - NOT INJURED",0,0,0,"E SOUTHCROSS BLVD",2399,"No Data","No Data","No Data",0,"4 - PEDESTRIAN",0,1,0,0,0,0,"No Data","No Data","No Data","13",0,"H - HISPANIC","2 - FEMALE","N - NOT INJURED",1,0,0,0,"4 - PEDESTRIAN","April",2013,3,"3",281900.803370827,292907535.076341,"3","#B2DF8A",c(-98.45670232, 29.37536498)
