Crash ID,Crash Date,Crash Year,Person Injury Severity,Person Non-Suspected Serious Injury Count,Person Not Injured Count,Person Possible Injury Count,Person Suspected Serious Injury Count,Person Type
12527047,2/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12528692,2/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12530718,2/9/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12543550,2/15/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12543587,2/15/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12546131,2/18/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12548615,2/20/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12554047,2/22/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12559414,2/25/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12569170,2/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12564754,2/29/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12574927,3/1/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12569200,3/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12570970,3/4/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12574900,3/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12578625,3/7/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12581307,3/10/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12582847,3/10/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12594035,3/15/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12605626,3/16/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12594338,3/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12594352,3/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12596854,3/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12601487,3/21/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12601487,3/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12604236,3/23/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12605537,3/26/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12616109,3/28/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12618587,3/28/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12615918,3/30/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12616150,4/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12622452,4/1/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12622461,4/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12630097,4/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12630146,4/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12630144,4/9/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12633614,4/9/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12641048,4/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12641210,4/13/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12641251,4/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12651191,4/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12643007,4/15/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12643099,4/15/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12646135,4/16/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12646213,4/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12653075,4/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12663009,4/18/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12652819,4/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12663053,4/26/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12663078,4/26/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12667451,4/29/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12690021,5/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12678745,5/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12682363,5/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12683243,5/9/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12688449,5/11/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12688473,5/11/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12690023,5/13/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12722079,5/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12694576,5/15/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12699145,5/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12813882,5/18/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12700799,5/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12704714,5/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12703488,5/22/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12703780,5/22/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12707875,5/24/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12710571,5/24/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12710566,5/25/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
14450134,5/26/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12710480,5/27/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12710558,5/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12719214,5/28/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12715710,5/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12717360,5/30/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12717412,5/31/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12720050,6/2/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12725819,6/2/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12720174,6/3/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12725809,6/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12726930,6/5/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12726924,6/6/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12729501,6/6/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12732656,6/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12737645,6/12/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12743659,6/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12743924,6/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12743855,6/15/12,2012,99 - UNKNOWN,0,0,0,0,3 - PEDALCYCLIST
12744015,6/16/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12744037,6/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12754752,6/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12747586,6/18/12,2012,K - FATAL INJURY,0,0,0,0,3 - PEDALCYCLIST
12751572,6/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12754708,6/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12753891,6/22/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12754705,6/23/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12754826,6/23/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12764121,6/23/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12756963,6/24/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12756936,6/25/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12756994,6/25/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12764060,6/25/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12771293,6/27/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12767581,6/30/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12774468,7/5/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12774714,7/6/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12780775,7/9/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12789820,7/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12798560,7/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12797140,7/19/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12798657,7/20/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12815972,7/20/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12799034,7/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12808649,7/24/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12808713,7/25/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12808878,7/27/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12811854,7/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12815863,7/29/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12811832,7/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12816061,8/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12819853,8/2/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12819960,8/2/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12820062,8/3/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12831015,8/6/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12831361,8/9/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12832642,8/11/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12834863,8/14/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12853989,8/14/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12838485,8/15/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12840596,8/16/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13260997,8/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12842567,8/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12842799,8/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12846729,8/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12851954,8/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12847570,8/22/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12847611,8/22/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12852203,8/25/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12853948,8/27/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12862387,8/27/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12857442,8/28/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12860553,8/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12860738,8/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12861793,8/31/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12879218,9/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12865146,9/4/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12879279,9/4/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12879227,9/8/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12881068,9/12/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12894748,9/17/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12889007,9/18/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12895505,9/19/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12894980,9/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12902386,9/22/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12900226,9/24/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12902394,9/24/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12905949,9/24/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12900323,9/25/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12906500,9/25/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12903929,9/26/12,2012,K - FATAL INJURY,0,0,0,0,3 - PEDALCYCLIST
12906141,9/28/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12906338,9/29/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12906451,9/30/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12906555,9/30/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12906704,9/30/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12909253,10/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12913406,10/2/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12929523,10/2/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12936723,10/2/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12914418,10/4/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12916742,10/4/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12916598,10/5/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12916804,10/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12921059,10/8/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12923124,10/10/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12942241,10/13/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12931504,10/16/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12949952,10/17/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12936453,10/18/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12939201,10/18/12,2012,99 - UNKNOWN,0,0,0,0,3 - PEDALCYCLIST
12939425,10/19/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12953453,10/19/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12942627,10/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12947709,10/23/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12953306,10/23/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12950334,10/25/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12952936,10/25/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12952984,10/26/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12959650,10/30/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12962255,11/1/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12968641,11/2/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12966226,11/5/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12968783,11/6/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12968885,11/6/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12975583,11/8/12,2012,99 - UNKNOWN,0,0,0,0,3 - PEDALCYCLIST
12975849,11/9/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12976039,11/9/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12976392,11/11/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12978563,11/11/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12981828,11/11/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12981876,11/12/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12987283,11/12/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12983677,11/13/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12987538,11/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13009522,11/19/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
12993242,11/20/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12995170,11/21/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
12995381,11/21/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
12995381,11/21/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
12995693,11/23/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13004414,11/28/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13004415,11/28/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13004579,11/28/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13006549,11/29/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13011845,11/29/12,2012,K - FATAL INJURY,0,0,0,0,3 - PEDALCYCLIST
13011548,11/30/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13007083,12/1/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13014403,12/1/12,2012,A - SUSPECTED SERIOUS INJURY,0,0,0,1,3 - PEDALCYCLIST
13009359,12/3/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13009854,12/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13019498,12/3/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13026547,12/5/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13019512,12/7/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13023476,12/11/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13024292,12/11/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13026930,12/12/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13031624,12/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13031744,12/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13035583,12/14/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13032160,12/15/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13032290,12/15/12,2012,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13033265,12/16/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13035616,12/18/12,2012,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13038756,12/18/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13043870,12/20/12,2012,99 - UNKNOWN,0,0,0,0,3 - PEDALCYCLIST
13043707,12/21/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13044155,12/21/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13047660,12/27/12,2012,N - NOT INJURED,0,1,0,0,3 - PEDALCYCLIST
13084439,1/7/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13077315,1/15/13,2013,99 - UNKNOWN,0,0,0,0,3 - PEDALCYCLIST
13084601,1/19/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13084808,1/20/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13087675,1/21/13,2013,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13087601,1/22/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13090545,1/22/13,2013,B - SUSPECTED MINOR INJURY,1,0,0,0,3 - PEDALCYCLIST
13090491,1/23/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13094845,1/24/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13094867,1/24/13,2013,K - FATAL INJURY,0,0,0,0,3 - PEDALCYCLIST
13097487,1/26/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13102487,1/29/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
13113130,1/30/13,2013,C - POSSIBLE INJURY,0,0,1,0,3 - PEDALCYCLIST
