Date and Time,Agency Name (Crash Level) ,Area: County,Area: City,Roadway (From Crash Report),Intersection Name (from Crash Report),KABCO Severity,Manner of Collision (Crash Level) ,First Harmful Event (Crash Level) ,SHSP Emphasis Areas,# of Fatalities (Person Table),# Serious Injuries,# Visible Injuries,# Complaint Injuries,# of Vehicles,Operator / Driver Contributing Factor -old,Roadway Contributing Factors (Crash Level) ,Weather Conditions (Crash Level),Surface Condition (Crash Level) ,Light Conditions (Crash Level),Latitude ,Longitude
12/9/15 11:55,Atlanta Police Department,Fulton,Atlanta,N Ave,N Ave and Peachtree St,(B) Suspected Minor/Visible Injury,Head On,,"[""Intersection Related"",""Pedestrian""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.771287,-84.384976
4/24/15 16:00,Atlanta Police Department,Fulton,Atlanta,1959 Metropolitan Pkwy,St Johns Ave and 1959 Metropolitan Pkwy,(O) No Injury,Rear End,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,3,"[""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.700794,-84.410176
11/7/15 23:35,Atlanta Police Department,Fulton,Atlanta,Roswell Rd Rd,Sardis Way and Roswell Rd Rd,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Impaired (Suspected)""]",0,3,0,0,3,"[""No Contributing Factors"",""No Contributing Factors"",""Other"",""Other"",""Other""]",,Rain,Wet,Dark-Not Lighted,33.840609,-84.37934
6/26/15 7:15,Atlanta Police Department,Fulton,Atlanta,Hilliard St,Hilliard St and Edgewood Ave,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,"[""Disregard Stop Sign/Signal"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.754371,-84.376595
11/5/15 21:00,Atlanta Police Department,Fulton,Atlanta,783 783 Coleman St St,Stephens St and 783 783 Coleman St St,(B) Suspected Minor/Visible Injury,Head On,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Cloudy,Wet,Dark-Lighted,33.733731,-84.403816
6/3/15 12:41,Atlanta Police Department,Fulton,Atlanta,Lenox Rd,Lenox Rd and Buford Hwy,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Older Driver (55-64)""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.825715,-84.35268
12/3/15 22:25,Atlanta Police Department,Fulton,Atlanta,3202 Roswell Rd,3202 Roswell Rd and W Paces Ferry Rd,(A) Suspected Serious Injury,Head On,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Dusk,33.839491,-84.379812
2/1/15 8:00,Atlanta Police Department,Fulton,Atlanta,2099 Peachtree Rd,Peachtree Park Dr and 2099 Peachtree Rd,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)""]",0,0,0,1,1,"[""Disregard Stop Sign/Signal"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.812319,-84.392226
12/7/15 12:04,Atlanta Police Department,Fulton,Atlanta,Howell Mill Rd,Bellemeade Ave and Howell Mill Rd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Impaired (Suspected)"",""Improper Occupant Protection""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.80059,-84.415904
3/27/15 20:00,Atlanta Police Department,Fulton,Atlanta,1198 Howell Mill Rd,,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,No Contributing Factors,,Cloudy,Dry,Daylight,33.786758,-84.411702
1/21/15 14:05,Atlanta Police Department,DeKalb,Atlanta,Glenwood Ave,Glenwood Ave and Flat Shoals Ave,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Older Driver (65+)"",""Bicycle"",""Improper Occupant Protection""]",0,0,0,1,2,"[""No Contributing Factors"",""Wrong Side of Road""]",,Clear,Dry,Daylight,33.740165,-84.345385
7/17/15 19:11,Atlanta Police Department,Fulton,Atlanta,3285 Peachtree Rd Ne Embassy Suites,,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Bicycle""]",0,0,0,0,2,No Contributing Factors,,Clear,Dry,Daylight,33.845107,-84.368981
3/11/15 18:15,Atlanta Police Department,DeKalb,Atlanta,Hosea L Williams Dr Ne   Whitefoord Ave,Whitefoord Ave and Hosea L Williams Dr Ne   Whitefoord Ave,(O) No Injury,Angle (Other),,"[""Bicycle"",""Improper Occupant Protection""]",0,0,0,0,2,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.752644,-84.332856
8/1/15 1:40,Atlanta Police Department,Fulton,Atlanta,I 85,I 85 and 10Th St,(K) Fatal Injury,Not a Collision with Motor Vehicle,,"[""Distracted Driver (Confirmed)"",""Hit & Run"",""Pedestrian"",""Impaired Driving (Confirmed)""]",1,0,0,0,3,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.781503,-84.390851
5/12/15 16:21,Atlanta Police Department,Fulton,Atlanta,1654 Donald Lee Hollowell Pkwy,W Lake Ave and 1654 Donald Lee Hollowell Pkwy,(A) Suspected Serious Injury,Head On,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian"",""Young Adult Driver (Age 20-24)""]",0,1,0,0,1,Inattentive or Other Distraction (Distracted),,Clear,Dry,Daylight,33.77285,-84.442059
1/30/15 16:39,Georgia Tech Police Department,Fulton,Atlanta,Ferst Dr,Ferst Dr and Fowler St,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,0,0,1,2,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.77691,-84.393539
1/12/15 7:20,Atlanta Police Department,Fulton,Atlanta,Blvd,Blvd and Woodward Ave,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Bicycle""]",0,0,0,2,3,"[""Failure to Yield"",""No Contributing Factors"",""No Contributing Factors""]",,Rain,Wet,Daylight,33.745511,-84.368119
2/11/15 19:22,Atlanta Police Department,Fulton,Atlanta,Peachtree St,11Th St and Peachtree St,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.783181,-84.383849
11/12/15 11:05,Georgia Tech Police Department,Fulton,Atlanta,Ferst Dr,Ferst Dr and Cherry St,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Bicycle"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,0,1,0,1,Driver Lost Control,,Clear,Dry,Daylight,33.777627,-84.395748
12/17/15 10:13,Atlanta Police Department,Fulton,Atlanta,Northside Dr,Ethel St and Northside Dr,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""No Contributing Factors"",""Other""]",,Rain,Wet,Daylight,33.784552,-84.407507
3/1/15 0:29,Atlanta Police Department,Fulton,Atlanta,Roswell Rd,Alberta Dr and Roswell Rd,(A) Suspected Serious Injury,Head On,,"[""Intersection Related"",""Hit & Run"",""Older Driver (65+)"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,3,"[""No Contributing Factors"",""No Contributing Factors"",""Other""]",,Rain,Wet,Dark-Not Lighted,33.846722,-84.381851
5/16/15 3:25,Atlanta Police Department,Fulton,Atlanta,21 Allen Temple Ct,Fairburn Rd and 21 Allen Temple Ct,(A) Suspected Serious Injury,Sideswipe-Same Direction,,Pedestrian,0,1,0,0,1,"[""No Contributing Factors"",""Under the Influence (U.I.)""]",,Clear,Dry,Dark-Lighted,33.751926,-84.491571
11/9/15 2:29,Atlanta Police Department,Fulton,Atlanta,Juniper St Ne St,12Th St and Juniper St Ne St,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Distracted Driver (Confirmed)"",""Pedestrian""]",0,0,1,0,1,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Rain,Wet,Dark-Lighted,33.784289,-84.382224
7/11/15 21:03,Atlanta Police Department,Fulton,Atlanta,Gibson St,Gibson St and Cummings St,(O) No Injury,Head On,,"[""Intersection Related"",""Roadway Departure"",""Distracted Driver (Confirmed)"",""Bicycle"",""Improper Occupant Protection""]",0,0,0,0,2,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.748427,-84.355651
3/15/15 14:45,Atlanta Police Department,Fulton,Atlanta,N Ave,N Ave and Arnold St,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.771142,-84.368563
3/19/16 6:19,Atlanta Police Department,Fulton,Atlanta,948 Sparks St,Lawton Ave and 948 Sparks St,(A) Suspected Serious Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,1,0,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.725365,-84.419667
9/17/16 13:50,Atlanta Police Department,Fulton,Atlanta,Cheshire Bridge Rd,Liddell Dr and Cheshire Bridge Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.809999,-84.3605
4/30/16 1:58,Atlanta Police Department,Fulton,Atlanta,I 285,I 285 and Campbellton Rd,(B) Suspected Minor/Visible Injury,Rear End,,"[""CMV Related"",""Pedestrian""]",0,0,2,1,2,"[""Driver Lost Control"",""Misjudged Clearance"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Dark-Not Lighted,33.690533,-84.500206
5/17/16 12:39,Atlanta Police Department,Fulton,Atlanta,75 Martin L King Jr Dr,Pryor St and 75 Martin L King Jr Dr,(C) Possible Injury / Complaint,Rear End,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,2,1,"[""Improper Backing"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.751325,-84.391022
12/5/16 14:10,Atlanta Police Department,Fulton,Atlanta,Dodson Dr,Dodson Dr and Ivydale Dr,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Impaired (Suspected)"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Rain,Wet,Daylight,33.699702,-84.475173
10/16/16 0:40,Atlanta Police Department,Fulton,Atlanta,264 Ormond St,Windsor St and 264 Ormond St,(O) No Injury,Sideswipe-Opposite Direction,,"[""Hit & Run"",""Pedestrian""]",0,0,0,0,1,"[""Misjudged Clearance"",""No Contributing Factors""]",,Cloudy,Dry,Dark-Lighted,33.731818,-84.396745
5/19/16 14:58,Atlanta Police Department,Fulton,Atlanta,80 Jesse Hill Jr Dr Se Grady,Decatur St and 80 Jesse Hill Jr Dr Se Grady,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.752139,-84.382648
12/24/16 19:50,Atlanta Police Department,Fulton,Atlanta,10Th St,10Th St and Northside Dr,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.78147,-84.407476
11/27/16 8:00,Atlanta Police Department,Fulton,Atlanta,3335 Martin L King Jr Dr,I 285 and 3335 Martin L King Jr Dr,(A) Suspected Serious Injury,Sideswipe-Same Direction,,"[""Intersection Related"",""Aggressive Driving"",""Hit & Run"",""Pedestrian"",""Impaired (Suspected)"",""Speed Related""]",0,1,0,0,3,"[""Changed Lanes Improperly"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.753858,-84.496116
3/7/16 12:00,Atlanta Police Department,Fulton,Atlanta,Peachtree St,12Th St and Peachtree St,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,0,0,1,2,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.784308,-84.383074
9/30/16 13:57,Atlanta Police Department,DeKalb,Atlanta,Fayetteville Rd Se   Glenwood Ave,Glenwood Ave and Fayetteville Rd Se   Glenwood Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""CMV Related"",""Pedestrian""]",0,0,0,0,1,"[""Driver Lost Control"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.740137,-84.313754
9/23/16 19:25,Atlanta Police Department,Fulton,Atlanta,Avon Ave,Avon Ave and Wyland Dr,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.722892,-84.430731
9/13/16 16:42,Atlanta Police Department,Fulton,Atlanta,Cascade Ave,Cascade Ave and Ralph D Abernathy Blvd,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.738649,-84.434172
7/9/16 10:06,Atlanta Police Department,Fulton,Atlanta,98 Mitchell St,Mitchell St and 98 Mitchell St,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.750007,-84.391327
6/22/16 8:00,Atlanta Police Department,Fulton,Atlanta,1001 Piedmont Ave,10Th St and 1001 Piedmont Ave,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Bicycle""]",0,0,0,1,2,"[""Improper Turn"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.781806,-84.38046
11/9/16 20:05,Atlanta Police Department,Fulton,Atlanta,Campbellton Rd,Bent Creek Way and Campbellton Rd,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,0,1,0,2,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.703815,-84.466684
4/29/14 18:23,Atlanta Police Department,Fulton,Atlanta,1226 Graymont,Venetian Rd and 1226 Graymont,(B) Suspected Minor/Visible Injury,Angle (Other),,"[""Pedestrian"",""Young Driver (Age 15-19)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.714882,-84.436568
9/15/14 15:28,Atlanta Police Department,Fulton,Atlanta,Edgewood Ave,Edgewood Ave and Jesse Hill Jr Dr,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""Improper Backing"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.754417,-84.380258
4/11/14 15:25,Atlanta Police Department,Fulton,Atlanta,Ivan Allen Jr Blvd,Ivan Allen Jr Blvd and Centennial Olympic Park Dr,(K) Fatal Injury,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",1,0,0,0,2,"[""Improper Turn"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.764591,-84.391933
9/22/14 14:50,Atlanta Police Department,Fulton,Atlanta,Marietta St,Baker St and Marietta St,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,Other,,Clear,Dry,Daylight,33.761306,-84.395983
7/15/14 18:28,Atlanta Police Department,Fulton,Atlanta,Mildred Pl,Mildred Pl and Donald Lee Hollowell Pkwy,(O) No Injury,Angle (Other),,"[""Intersection Related"",""Hit & Run"",""Bicycle""]",0,0,0,0,2,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Daylight,33.776573,-84.45646
10/19/14 2:00,Atlanta Police Department,Fulton,Atlanta,849 E Confederate Ave,,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""Following Too Close"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.726974,-84.359718
6/27/14 19:35,Atlanta Police Department,Fulton,Atlanta,Peachtree Rd,Peachtree Rd and Peachtree Valley Rd,(A) Suspected Serious Injury,Rear End,,"[""Bicycle"",""Distracted Driver (Suspected)"",""Improper Occupant Protection""]",0,1,0,0,1,No Contributing Factors,,Clear,Dry,Daylight,33.810689,-84.392598
5/16/14 20:09,Atlanta Police Department,Fulton,Atlanta,250 Pharr Rd,N Fulton Dr and 250 Pharr Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian""]",0,0,0,1,1,"[""Misjudged Clearance"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.837038,-84.377825
6/17/14 15:20,Atlanta Police Department,Fulton,Atlanta,Peachtree St,Pine St and Peachtree St,(C) Possible Injury / Complaint,Head On,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""Other"",""Other""]",,Rain,Wet,Daylight,33.767418,-84.385382
5/7/14 19:10,Atlanta Police Department,DeKalb,Atlanta,Memorial Dr,Dixie St and Memorial Dr,(O) No Injury,Rear End,,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Distracted Driver (Suspected)""]",0,0,0,0,2,"[""Following Too Close"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.747542,-84.335476
12/21/14 13:41,Atlanta Police Department,Fulton,Atlanta,Parkway Dr,Angier Ave and Parkway Dr,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,1,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Cloudy,Dry,Daylight,33.766398,-84.373368
8/13/14 6:35,Atlanta Police Department,Fulton,Atlanta,1766 Howell Mill Rd,Defoors Av and 1766 Howell Mill Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Distracted Driver (Confirmed)"",""Pedestrian""]",0,0,0,1,1,"[""Inattentive or Other Distraction (Distracted)"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.802232,-84.41501
7/29/14 8:05,Atlanta Police Department,Fulton,Atlanta,30 6Th St,30 6Th St and Cypress St,(B) Suspected Minor/Visible Injury,Angle (Other),,Bicycle,0,0,1,0,2,"[""Improper Turn"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.777479,-84.386226
7/25/14 23:00,Atlanta Police Department,Fulton,Atlanta,Princess Ave,Avon Ave and Princess Ave,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Impaired (Suspected)"",""Distracted Driver (Suspected)""]",0,0,0,1,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.722143,-84.425391
9/21/14 20:20,Atlanta Police Department,Fulton,Atlanta,486 Beckwith Ct,,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Young Adult Driver (Age 20-24)"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.752831,-84.402842
10/1/14 8:00,Atlanta Police Department,Fulton,Atlanta,627 Parkway Dr,N Ave and 627 Parkway Dr,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)"",""Older Driver (55-64)"",""Improper Occupant Protection""]",0,0,0,1,1,"[""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.77118,-84.372743
3/2/14 18:00,Atlanta Police Department,Fulton,Atlanta,Mount Zion Rd Sw   Hapeville Rd,Hapeville Rd and Mount Zion Rd Sw   Hapeville Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian""]",0,0,0,1,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.67288,-84.393413
1/27/14 14:50,Atlanta Police Department,Fulton,Atlanta,85 Mount Zion Rd,,(O) No Injury,Rear End,,"[""Intersection Related"",""Older Driver (65+)"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,0,0,3,"[""Following Too Close"",""No Contributing Factors"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.672886,-84.393726
10/9/14 19:49,Atlanta Police Department,Fulton,Atlanta,2102 Piedmont Rd,Piedmont Cir and 2102 Piedmont Rd,(C) Possible Injury / Complaint,Not a Collision with Motor Vehicle,,Pedestrian,0,0,0,1,1,"[""No Contributing Factors"",""Other""]",,Clear,Dry,Dark-Lighted,33.810436,-84.367815
5/20/14 17:00,Atlanta Police Department,Fulton,Atlanta,Dekalb Ave,Daniel St and Dekalb Ave,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Hit & Run"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,"[""Other"",""Other""]",,Clear,Dry,Daylight,33.751763,-84.370184
11/12/14 20:11,Atlanta Police Department,Fulton,Atlanta,Garson Dr,Garson Dr and Lindbergh Dr,(B) Suspected Minor/Visible Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Distracted Driver (Suspected)""]",0,0,1,0,1,No Contributing Factors,,Clear,Dry,Dark-Lighted,33.821103,-84.370167
11/21/14 18:20,Atlanta Police Department,Fulton,Atlanta,Boulevard Ne   Edgewood Ave,Edgewood Ave and Boulevard Ne   Edgewood Ave,(O) No Injury,Not a Collision with Motor Vehicle,,"[""Intersection Related"",""Pedestrian"",""Older Driver (55-64)""]",0,0,0,0,1,"[""Failure to Yield"",""No Contributing Factors""]",,Clear,Dry,Dark-Lighted,33.754312,-84.372151
4/23/14 18:44,Atlanta Police Department,Fulton,Atlanta,Forsyth St,Forsyth St and Marietta St,(C) Possible Injury / Complaint,Angle (Other),,"[""Intersection Related"",""Bicycle"",""Improper Occupant Protection""]",0,0,0,1,2,"[""Changed Lanes Improperly"",""No Contributing Factors""]",,Clear,Dry,Daylight,33.755499,-84.391036
