X,Y,ReportType,PrmaryCollsionType,CaseNumber,UnitsInvolved,Location,OnHighway,CrossStreet,FeetFromIntersection,DirectionFromIntersection,CollisionDate,ReportedDate,ReportedYear,ReportedMonth,ReportedMonthName,ReportedWeek,ReportedDayofWeekNum,ReportedDayofMonth,ReportedDayofWeek,ReportedHour,HitAndRunStatus,LightingCondition,WeatherCondition,Severity,NumKilled,NumSeriouslyInjured,NumInjuredOrKilled,Lat,Lon,DUI,AlcoholDrugSuspected,BicyclesInvolved,PedestriansInvolved,RoadDescription,Crash_Time,ESRI_OID
-105.25933,40.00027,Police Collision Report,Counter Report,1710547,2,2690  BASELINE RD      ,2690 BASELINE ROAD,,     ,  ,2017/08/18 00:00:00+00,2017/08/19 14:49:00+00,2017,8,August,14,7,19,Saturday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.00027,-105.25933,0,0,0,0,,1450,12
-105.276372,40.015376,Police Collision Report,Counter Report,1711928,2,1745  14TH ST      ,PRIVATE PROPERTY,,     ,  ,2017/09/10 00:00:00+00,2017/09/19 16:43:00+00,2017,9,September,16,3,19,Tuesday,16,Motorway Collision,,,Property Damage Only,0,0,0,40.015376,-105.276372,0,0,0,0,,1630,13
-105.255884,40.022827,Police Collision Report,Counter Report,1712683,2,2905  PEARL ST      ,PRIVATE PROPERTY,,     ,  ,2017/09/25 00:00:00+00,2017/09/25 15:36:00+00,2017,9,September,15,2,25,Monday,15,Motorway Collision,,,Property Damage Only,0,0,0,40.022827,-105.255884,0,0,0,0,,900,14
-105.257018,40.003705,Police Collision Report,Counter Report,1712848,2,2850  E AURORA AVEE      ,2850 E. AURORA AVE,,     ,  ,,2017/09/29 08:34:00+00,2017,9,September,8,6,29,Friday,8,Motorway Collision,,,Property Damage Only,0,0,0,40.003705,-105.257018,0,0,0,0,,800,15
-105.248058,39.969521,Police Collision Report,Counter Report,1712853,1,3925  LONGWOOD AVE      ,3925 LONGWOOD DR,,     ,  ,,2017/09/29 08:51:00+00,2017,9,September,8,6,29,Friday,8,Motorway Collision,,,Property Damage Only,0,0,0,39.969521,-105.248058,0,0,0,0,,1530,16
-105.226511,40.014713,Police Collision Report,Counter Report,1713123,2,5440  ARAPAHOE AVE      ,PRIVATE PROPERTY,,     ,  ,2017/10/05 00:00:00+00,2017/10/05 09:21:00+00,2017,10,October,9,5,5,Thursday,9,Motorway Collision,,,Property Damage Only,0,0,0,40.014713,-105.226511,0,0,0,0,PARKING LOT,930,17
-105.253012,39.997714,Police Collision Report,Counter Report,1713399,2,555   30TH ST      ,PRIVATE PROPERTY,,     ,  ,2017/10/11 00:00:00+00,2017/10/11 11:11:00+00,2017,10,October,11,4,11,Wednesday,11,Motorway Collision,,,Property Damage Only,0,0,0,39.997714,-105.253012,0,0,0,0,PARKING LOT,1110,18
-105.253772,40.020084,Police Collision Report,Counter Report,1713446,2,30TH ST/WALNUT ST,3055 WALNUT,,     ,  ,2017/10/11 00:00:00+00,2017/10/12 10:53:00+00,2017,10,October,10,5,12,Thursday,10,Motorway Collision,,,Property Damage Only,0,0,0,40.020084,-105.253772,0,0,0,0,,1400,19
-105.28205,40.047615,Police Collision Report,Counter Report,1713926,2,3990  BROADWAY      ,PRIVATE PROPERTY,,     ,  ,2017/10/23 00:00:00+00,2017/10/23 08:28:00+00,2017,10,October,8,2,23,Monday,8,Motorway Collision,,,Property Damage Only,0,0,0,40.047615,-105.28205,0,0,0,0,PARKING LOT,825,20
-105.235484,40.014836,Police Collision Report,Counter Report,1714038,2,4747  ARAPAHOE AVE      ,4747 ARAPAHOE,,     ,  ,2017/10/25 00:00:00+00,2017/10/25 12:08:00+00,2017,10,October,12,4,25,Wednesday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.014836,-105.235484,0,0,0,0,,1211,21
-105.227982,40.014712,Police Collision Report,Counter Report,1714331,2,5360  ARAPAHOE AVE      ,PRIVATE PROPERTY,,     ,  ,2017/10/30 00:00:00+00,2017/10/30 12:57:00+00,2017,10,October,12,2,30,Monday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.014712,-105.227982,0,0,0,0,PARKING LOT,1255,22
-105.215692,40.064792,Police Collision Report,Counter Report,1714517,2,6000  SPINE RD      ,6000 SPINE RD,,     ,  ,2017/11/03 00:00:00+00,2017/11/03 14:01:00+00,2017,11,November,14,6,3,Friday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.064792,-105.215692,0,0,0,0,,1300,23
-105.25015,40.016844,Police Collision Report,Counter Report,1714794,2,1701  33RD ST      ,1701 33RD ST,,     ,  ,2017/11/09 00:00:00+00,2017/11/09 09:42:00+00,2017,11,November,9,5,9,Thursday,9,Motorway Collision,,,Property Damage Only,0,0,0,40.016844,-105.25015,0,0,0,0,,944,24
-105.273083,40.014558,Police Collision Report,Counter Report,1714910,2,1650  ARAPAHOE AVE      ,1650 ARAPAHOE,,     ,  ,2017/11/11 00:00:00+00,2017/11/11 14:19:00+00,2017,11,November,14,7,11,Saturday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.014558,-105.273083,1,1,0,0,,1200,25
-105.218758,39.993142,Police Collision Report,Counter Report,1715089,2,5660  SIOUX DR      ,5660 SIOUX DR,,     ,  ,2017/11/15 00:00:00+00,2017/11/15 10:26:00+00,2017,11,November,10,4,15,Wednesday,10,Motorway Collision,,,Property Damage Only,0,0,0,39.993142,-105.218758,0,0,0,0,,830,26
-105.256293,40.019519,Police Collision Report,Counter Report,1715173,2,1855  29TH ST      ,1855 29TH ST,,     ,  ,2017/11/16 00:00:00+00,2017/11/16 14:39:00+00,2017,11,November,14,5,16,Thursday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.019519,-105.256293,0,0,0,0,,1130,27
-105.25872,40.036485,Police Collision Report,Counter Report,1715223,2,2779  IRIS AVE      ,2779 IRIS AVE,,     ,  ,2017/11/17 00:00:00+00,2017/11/17 10:34:00+00,2017,11,November,10,6,17,Friday,10,Motorway Collision,,,Property Damage Only,0,0,0,40.036485,-105.25872,0,0,0,0,,1030,28
-105.248388,40.02624,Police Collision Report,Counter Report,1715399,2,2880  WILDERNESS PL      ,2880 WILDERNESS PL,,     ,  ,2017/09/22 00:00:00+00,2017/11/21 17:03:00+00,2017,11,November,17,3,21,Tuesday,17,Motorway Collision,,,Property Damage Only,0,0,0,40.02624,-105.248388,0,0,0,0,,2100,29
-105.261628,40.014585,Police Collision Report,Counter Report,1715767,2,2525  ARAPAHOE AVE      ,2525 ARAPAHOE AVENUE,,     ,  ,2017/11/29 00:00:00+00,2017/12/01 10:53:00+00,2017,12,December,10,6,1,Friday,10,Motorway Collision,,,Property Damage Only,0,0,0,40.014585,-105.261628,0,0,0,0,,1200,30
-105.255943,40.017629,Police Collision Report,Counter Report,1715815,2,1775  29TH ST      ,CANYON BOULEVARD,,     ,  ,2017/12/02 00:00:00+00,2017/12/02 10:17:00+00,2017,12,December,10,7,2,Saturday,10,Motorway Collision,,,Property Damage Only,0,0,0,40.017629,-105.255943,0,0,0,0,,1018,31
-105.26407,40.000791,Police Collision Report,Counter Report,1715950,2,645   BROADWAYS      ,PRIVATE PROPERTY,,     ,  ,2017/12/05 00:00:00+00,2017/12/05 12:20:00+00,2017,12,December,12,3,5,Tuesday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.000791,-105.26407,0,0,0,0,,1400,32
-105.250152,40.018236,Police Collision Report,Counter Report,1716065,1,1805  33RD ST      ,CANYON BOULEVARD,,320,W ,2017/12/08 00:00:00+00,2017/12/08 13:55:00+00,2017,12,December,13,6,8,Friday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.018236,-105.250152,0,0,0,0,,1355,33
-105.258376,40.030025,Police Collision Report,Counter Report,1716112,2,3050  28TH ST      ,3050 28TH STREET,,     ,  ,2017/12/09 00:00:00+00,2017/12/09 12:41:00+00,2017,12,December,12,7,9,Saturday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.030025,-105.258376,0,0,0,0,,1730,34
-105.256067,40.0147,Police Collision Report,Counter Report,1716363,2,1600  29TH ST      ,1600 29TH STREET,,     ,  ,2017/12/15 00:00:00+00,2017/12/15 15:15:00+00,2017,12,December,15,6,15,Friday,15,Motorway Collision,,,Property Damage Only,0,0,0,40.0147,-105.256067,0,0,0,0,,1455,35
-105.254446,39.999921,Police Collision Report,Counter Report,1716736,2,2950  BASELINE RD      ,PRIVATE PROPERTY,,     ,  ,2017/12/26 00:00:00+00,2017/12/26 16:40:00+00,2017,12,December,16,3,26,Tuesday,16,Motorway Collision,,,Property Damage Only,0,0,0,39.999921,-105.254446,0,0,0,0,,1600,36
-105.261628,40.014585,Police Collision Report,Counter Report,1800200,2,2525  ARAPAHOE AVE      ,2525 ARAPAHOE AVENUE,,     ,  ,2018/01/06 00:00:00+00,2018/01/06 13:26:00+00,2018,1,January,13,7,6,Saturday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.014585,-105.261628,0,0,0,0,,1326,37
-105.287262,40.013835,Police Collision Report,Counter Report,1800249,2,1777  6TH ST      ,PRIVATE PROPERTY,,     ,  ,2018/01/08 00:00:00+00,2018/01/08 11:05:00+00,2018,1,January,11,2,8,Monday,11,Motorway Collision,,,Property Damage Only,0,0,0,40.013835,-105.287262,0,0,0,0,,1105,38
-105.25894,40.010513,Police Collision Report,Counter Report,1800469,1,2780  TAFT DR      ,PRIVATE PROPERTY,,     ,  ,2018/01/14 00:00:00+00,2018/01/14 16:32:00+00,2018,1,January,16,1,14,Sunday,16,Motorway Collision,,,Property Damage Only,0,0,0,40.010513,-105.25894,0,0,0,0,,1632,39
-105.290949,40.014624,Police Collision Report,Counter Report,1800690,2,333   CANYON BLVD      ,335 CANYON BOULEVARD,,     ,  ,2018/01/19 00:00:00+00,2018/01/19 12:27:00+00,2018,1,January,12,6,19,Friday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.014624,-105.290949,0,0,0,0,,2230,40
-105.227492,39.985432,Police Collision Report,Counter Report,1800864,2,5350  MANHATTAN CIR      ,PRIVATE PROPERTY,,     ,  ,2018/01/23 00:00:00+00,2018/01/23 14:17:00+00,2018,1,January,14,3,23,Tuesday,14,Motorway Collision,,,Property Damage Only,0,0,0,39.985432,-105.227492,0,0,0,0,,1417,41
-105.255275,40.000078,Police Collision Report,Counter Report,1800944,2,2920  BASELINE RD      ,2920 BASELINE ROAD,,     ,  ,,2018/01/25 08:34:00+00,2018,1,January,8,5,25,Thursday,8,Motorway Collision,,,Property Damage Only,0,0,0,40.000078,-105.255275,0,0,0,0,,834,42
-105.24648,40.014661,Police Collision Report,Counter Report,1801057,1,1600  38TH ST      ,1600 38TH STREET,,     ,  ,2018/01/27 00:00:00+00,2018/01/27 14:01:00+00,2018,1,January,14,7,27,Saturday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.014661,-105.24648,0,0,0,0,,1401,43
-105.256332,40.020624,Police Collision Report,Counter Report,1801342,2,1900  29TH ST      ,1900 29TH STREET,,     ,  ,2018/02/03 00:00:00+00,2018/02/03 14:26:00+00,2018,2,February,14,7,3,Saturday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.020624,-105.256332,0,0,0,0,,1030,44
-105.283161,40.013237,Police Collision Report,Counter Report,1801490,2,909   ARAPAHOE AVE      ,909 ARAPAHOE AVENUE,,     ,  ,2018/02/07 00:00:00+00,2018/02/07 13:40:00+00,2018,2,February,13,4,7,Wednesday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.013237,-105.283161,0,0,0,0,,1100,45
-105.258417,40.017104,Police Collision Report,Counter Report,1801535,3,1690  28TH ST      ,1690 28TH ST,,     ,  ,2018/02/08 00:00:00+00,2018/02/08 13:16:00+00,2018,2,February,13,5,8,Thursday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.017104,-105.258417,0,0,0,0,,1316,46
-105.282432,40.023305,Police Collision Report,Counter Report,1801782,2,1133  PORTLAND PL      ,1133 PORTLAND PLACE,,     ,  ,,2018/02/14 09:05:00+00,2018,2,February,9,4,14,Wednesday,9,Motorway Collision,,,Property Damage Only,0,0,0,40.023305,-105.282432,0,0,0,0,,1100,47
-105.258306,40.022242,Police Collision Report,Counter Report,1802127,2,2800  PEARL ST      ,2800 PEARL STREET,CITY ST/CNTY RD,     ,  ,2018/02/21 00:00:00+00,2018/02/21 00:00:00+00,2018,2,February,0,4,21,Wednesday,0,Motorway Collision,,,Property Damage Only,0,0,0,40.022242,-105.258306,0,0,0,0,PARKING LOT,2100,48
-105.258284,40.020627,Police Collision Report,Counter Report,1802191,2,1906  28TH ST      ,1906 28TH STREET,,     ,  ,2018/02/23 00:00:00+00,2018/02/23 13:06:00+00,2018,2,February,13,6,23,Friday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.020627,-105.258284,0,0,0,0,,1300,49
-105.261474,40.000344,Police Collision Report,Counter Report,1802420,2,2486  BASELINE RD      ,2486 BASELINE ROAD,,     ,  ,2018/02/28 00:00:00+00,2018/02/28 10:57:00+00,2018,2,February,10,4,28,Wednesday,10,Motorway Collision,,,Property Damage Only,0,0,0,40.000344,-105.261474,0,0,0,0,,1057,50
-105.241717,40.02225,Police Collision Report,Counter Report,1802457,2,4740  PEARL EAST CIR      ,4740 PEARL EAST CIR,,     ,  ,2018/03/01 00:00:00+00,2018/03/01 14:31:00+00,2018,3,March,14,5,1,Thursday,14,Motorway Collision,,,Property Damage Only,0,0,0,40.02225,-105.241717,0,0,0,0,,1200,51
-105.253726,40.016337,Police Collision Report,Counter Report,1802668,2,1682  30TH ST      ,PRIVATE PROPERTY,,     ,  ,2018/03/06 00:00:00+00,2018/03/06 17:05:00+00,2018,3,March,17,3,6,Tuesday,17,Motorway Collision,,,Property Damage Only,0,0,0,40.016337,-105.253726,0,0,0,0,,1705,52
-105.258505,40.020149,Police Collision Report,Counter Report,1802679,2,1875  28TH ST      ,1875 28TH STREET,,     ,  ,2018/03/07 00:00:00+00,2018/03/07 08:05:00+00,2018,3,March,8,4,7,Wednesday,8,Motorway Collision,,,Property Damage Only,0,0,0,40.020149,-105.258505,0,0,0,0,,1400,53
-105.26255,40.000116,Police Collision Report,Counter Report,1802808,2,2400  BASELINE RD      ,2400 BASELINE ROAD,,     ,  ,2018/03/09 00:00:00+00,2018/03/09 12:39:00+00,2018,3,March,12,6,9,Friday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.000116,-105.26255,0,0,0,0,,1239,54
-105.25853,40.007378,Police Collision Report,Counter Report,1802853,1,1100  28TH ST      ,1100 28TH STREET,,     ,  ,2018/03/10 00:00:00+00,2018/03/10 12:06:00+00,2018,3,March,12,7,10,Saturday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.007378,-105.25853,0,0,0,0,,1206,55
-105.218758,39.993142,Police Collision Report,Counter Report,1802934,2,5660  SIOUX DR      ,PRIVATE PROPERTY,,     ,  ,2018/03/12 00:00:00+00,2018/03/12 10:57:00+00,2018,3,March,10,2,12,Monday,10,Motorway Collision,,,Property Damage Only,0,0,0,39.993142,-105.218758,0,0,0,0,,930,56
-105.253724,40.017523,Police Collision Report,Counter Report,1803163,2,1750  30TH ST      ,1750 30TH STREET,,     ,  ,2018/03/16 00:00:00+00,2018/03/16 15:17:00+00,2018,3,March,15,6,16,Friday,15,Motorway Collision,,,Property Damage Only,0,0,0,40.017523,-105.253724,0,0,0,0,,1517,57
-105.201245,40.072777,Police Collision Report,Counter Report,1803455,2,6550  LOOKOUT RD      ,PRIVATE PROPERTY,,     ,  ,2018/03/21 00:00:00+00,2018/03/21 17:20:00+00,2018,3,March,17,4,21,Wednesday,17,Motorway Collision,,,Property Damage Only,0,0,0,40.072777,-105.201245,0,0,0,0,,1645,58
-105.271834,40.018855,Police Collision Report,Counter Report,1803714,1,1934  18TH ST      ,PRIVATE PROPERTY,,     ,  ,2018/03/21 00:00:00+00,2018/03/21 00:00:00+00,2018,3,March,0,4,21,Wednesday,0,Motorway Collision,,,Property Damage Only,0,0,0,40.018855,-105.271834,0,0,0,0,,1536,59
-105.246393,39.980742,Police Collision Report,Counter Report,1803715,2,4155  DARLEY AVE      ,4155 DARLEY AVENUE,,     ,  ,2018/03/28 00:00:00+00,2018/03/28 07:57:00+00,2018,3,March,7,4,28,Wednesday,7,Motorway Collision,,,Property Damage Only,0,0,0,39.980742,-105.246393,0,0,0,0,,757,60
-105.25842,40.02608,Police Collision Report,Counter Report,1803734,2,2525  28TH ST      ,2525 28TH STREET,,     ,  ,2018/03/28 00:00:00+00,2018/03/28 12:25:00+00,2018,3,March,12,4,28,Wednesday,12,Motorway Collision,,,Property Damage Only,0,0,0,40.02608,-105.25842,0,0,0,0,,1010,61
-105.258419,40.016018,Police Collision Report,Counter Report,1803812,2,1650  28TH ST      ,1650 28TH STREET,,     ,  ,2018/03/30 00:00:00+00,2018/03/30 13:06:00+00,2018,3,March,13,6,30,Friday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.016018,-105.258419,0,0,0,0,,1115,62
-105.25594,40.018369,Police Collision Report,Counter Report,1803849,2,1805  29TH ST      ,1805 29TH STREET,,     ,  ,2018/03/31 00:00:00+00,2018/03/31 11:20:00+00,2018,3,March,11,7,31,Saturday,11,Motorway Collision,,,Property Damage Only,0,0,0,40.018369,-105.25594,0,0,0,0,,1120,63
-105.261628,40.014585,Police Collision Report,Counter Report,1803855,2,2525  ARAPAHOE AVE      ,2525 ARAPAHOE AVENUE,,     ,  ,2018/03/31 00:00:00+00,2018/03/31 13:57:00+00,2018,3,March,13,7,31,Saturday,13,Motorway Collision,,,Property Damage Only,0,0,0,40.014585,-105.261628,0,0,0,0,,1357,64
-105.261628,40.014585,Police Collision Report,Counter Report,1804000,2,2525  ARAPAHOE AVE      ,2525 ARAPAHOE AVENUE,,     ,  ,2018/04/02 00:00:00+00,2018/04/02 00:00:00+00,2018,4,April,0,2,2,Monday,0,Motorway Collision,,,Property Damage Only,0,0,0,40.014585,-105.261628,0,0,0,0,,1930,65
-105.258403,40.029131,Police Collision Report,Counter Report,1804325,2,VALMONT RD/28TH ST,3117 28TH ST,,     ,  ,2018/04/11 00:00:00+00,2018/04/11 11:55:00+00,2018,4,April,11,4,11,Wednesday,11,Motorway Collision,,,Property Damage Only,0,0,0,40.029131,-105.258403,0,0,0,0,,1155,66
-105.25836,40.021501,Police Collision Report,Counter Report,1804338,2,1955  28TH ST      ,PRIVATE PROPERTY,,     ,  ,2018/04/11 00:00:00+00,2018/04/11 15:42:00+00,2018,4,April,15,4,11,Wednesday,15,Motorway Collision,,,Non-Incapacitating Injury,0,0,1,40.021501,-105.25836,0,0,0,1,,1542,67
-105.253728,40.015693,Police Collision Report,Counter Report,1804662,2,1650  30TH ST      ,1650 30TH STREET,,     ,  ,2018/04/12 00:00:00+00,2018/04/14 00:00:00+00,2018,4,April,0,7,14,Saturday,0,Motorway Collision,,,Property Damage Only,0,0,0,40.015693,-105.253728,0,0,0,0,,1500,68
-105.246664,40.030136,Police Collision Report,Counter Report,1804694,2,3080  CENTER GREEN DR      ,3080 CENTER GREEN DRIVE,,     ,  ,2018/04/18 00:00:00+00,2018/04/19 11:51:00+00,2018,4,April,11,5,19,Thursday,11,Motorway Collision,,,Property Damage Only,0,0,0,40.030136,-105.246664,0,0,0,0,,1336,69
-105.259237,40.000264,Police Collision Report,Counter Report,1807102,2,2700  BASELINE RD      ,2700 BASELINE RD,,     ,  ,2018/06/10 00:00:00+00,2018/06/10 06:08:00+00,2018,6,June,6,1,10,Sunday,6,Motorway Collision,,,Property Damage Only,0,0,0,40.000264,-105.259237,0,0,0,0,,600,70
-105.249785,40.036497,Police Collision Report,Counter Report,1807384,2,3325  IRIS AVE      ,3325 IRIS AVE,,     ,  ,2018/06/15 00:00:00+00,2018/06/15 20:14:00+00,2018,6,June,20,6,15,Friday,20,Motorway Collision,,,Property Damage Only,0,0,0,40.036497,-105.249785,0,0,0,1,,1908,71
-105.258403,40.029131,Police Collision Report,Counter Report,1807974,2,VALMONT RD/28TH ST,VALMONT RD,CITY ST/CNTY RD,     ,  ,2018/06/28 00:00:00+00,2018/06/28 20:43:00+00,2018,6,June,20,5,28,Thursday,20,Motorway Collision,,,Non-Incapacitating Injury,0,0,1,40.029131,-105.258403,0,0,1,0,,1705,72
-105.240111,40.025479,Police Collision Report,Counter Report,1808480,2,4840  PEARL ST      ,4840 PEARL ST,,     ,  ,2018/06/01 00:00:00+00,2018/06/01 00:00:00+00,2018,6,June,0,6,1,Friday,0,Motorway Collision,,,Property Damage Only,0,0,0,40.025479,-105.240111,0,0,0,0,PARKING LOT,2200,73
-105.258476,40.03511,Police Collision Report,Counter Report,2206524,2,3325  28TH ST      ,3325 28TH ST,,     ,  ,2022/07/10 00:00:00+00,2022/07/12 00:00:00+00,2022,7,July,0,3,12,Tuesday,0,Motorway Collision,,,Property Damage Only,0,0,0,40.03511,-105.258476,0,0,0,0,,1408,74
-105.225409,40.028672,Police Collision Report,Counter Report,1908881,3,2907  55TH ST      ,2995 55TH ST,,     ,  ,2019/08/08 00:00:00+00,2019/08/08 04:00:00+00,2019,8,August,4,5,8,Thursday,4,Motorway Collision,,,Property Damage Only,0,0,0,40.028672,-105.225409,0,0,0,0,,401,75
-105.251909,39.984144,Police Collision Report,Counter Report,1913653,2,3600  TABLE MESA DR      ,3600 TABLE MESA,CITY ST/CNTY RD,     ,  ,2019/11/18 00:00:00+00,2019/11/18 11:39:00+00,2019,11,November,11,2,18,Monday,11,Motorway Collision,,,Property Damage Only,0,0,0,39.984144,-105.251909,0,0,0,0,,1030,76
-105.227512,39.985893,Police Collision Report,COLLISION W/ MV - FRONT TO REAR,1904154,2,MANHATTAN CIR/SOUTH BOULDER RD,S. BOULDER RD,CITY ST/CNTY RD,45,W ,2019/04/18 00:00:00+00,2019/04/18 12:28:00+00,2019,4,April,12,5,18,Thursday,12,Motorway Collision,Daylight,,Property Damage Only,0,0,0,39.985893,-105.227512,0,0,0,0,INTERSECTION RELATED,1228,77
-105.260426,40.017483,Police Collision Report,COLLISION W/ MV - FRONT TO REAR,2206289,2,26TH ST/CANYON BLVD,26TH ST,CITY ST/CNTY RD,     ,N ,2022/07/03 00:00:00+00,2022/07/03 18:30:00+00,2022,7,July,18,1,3,Sunday,18,Motorway Collision,Daylight,,Property Damage Only,0,0,0,40.017483,-105.260426,0,0,0,0,NON-INTERSECTION,1830,78
-105.258373,40.003731,Police Collision Report,COLLISION W/ MV - FRONT TO SIDE,2208096,2,28TH FRONTAGE RD/E AURORA AVE,28TH FRONTAGE RD,CITY ST/CNTY RD,     ,N ,2022/08/21 00:00:00+00,2022/08/21 00:00:00+00,2022,8,August,0,1,21,Sunday,0,Motorway Collision,Daylight,,Non-Incapacitating Injury,0,0,1,40.003731,-105.258373,0,0,1,0,DRIVEWAY ACCESS RELATED,1615,79
-105.248978,40.03727,Police Collision Report,COLLISION W/ MV - FRONT TO SIDE,1713351,2,34TH ST/PENROSE PL,3405 PENROSE PL,,     ,  ,2017/10/10 00:00:00+00,2017/10/10 11:34:00+00,2017,10,October,11,3,10,Tuesday,11,Motorway Collision,,,Property Damage Only,0,0,0,40.03727,-105.248978,0,0,0,0,,1135,80
-105.220401,40.014559,Police Collision Report,COLLISION W/ MV - FRONT TO SIDE,2104319,2,5706  ARAPAHOE AVE      ,5706 ARAPAHOE AVE,,     ,  ,2021/05/20 00:00:00+00,2021/05/24 12:45:00+00,2021,5,May,12,2,24,Monday,12,Motorway Collision,Daylight,,Property Damage Only,0,0,0,40.014559,-105.220401,0,0,0,0,PARKING LOT,1310,81
